Participante,Título del Resumen
"MSc Tomasa  María  Esther  Linares  Fernández","Invalidez laboral por Neoplasias malignas"
"Heliodora Díaz Padrón","Invalidez laboral por Neoplasias malignas"
"Yaritza Jova Linares","Invalidez laboral por Neoplasias malignas"
"Adriana Campos Tadeo","Invalidez laboral por Neoplasias malignas"
"Brian Arias Rodríguez","Invalidez laboral por Neoplasias malignas"
"MSc Tomasa  María  Esther  Linares  Fernández","Prevención  de las enfermedades crónicas no transmisibles y promoción en salud ocupacional"
"Ilén M. Núñez Casañas","Gestión de los desechos sólidos hospitalarios"
"Dr. C. Susana Solis Solis","Gestión de los desechos sólidos hospitalarios"
"Daimarelis Guerra del Valle","Gestión de los desechos sólidos hospitalarios"
"DrC. Yanet Ortega Dugrot","Gestión de los desechos sólidos hospitalarios"
"Hermes Fundora Hernandez","Desarrollo de una guía de estudio para el tema Virología en la asignatura Microbiología y Parasitología humanas en la Sede Universitaria Pochutla de la UBBJ 2026"
"Henoch García Petriz","Desarrollo de una guía de estudio para el tema Virología en la asignatura Microbiología y Parasitología humanas en la Sede Universitaria Pochutla de la UBBJ 2026"
"Miriam Katriuska Castro Ortega","Desarrollo de una guía de estudio para el tema Virología en la asignatura Microbiología y Parasitología humanas en la Sede Universitaria Pochutla de la UBBJ 2026"
"Raul Daniel Valdés Velázquez","Desarrollo de una guía de estudio para el tema Virología en la asignatura Microbiología y Parasitología humanas en la Sede Universitaria Pochutla de la UBBJ 2026"
"Hermes Fundora Hernandez","Desarrollo de guia para presentación de casos clínicos de Síndromes neurológicos en la asignatura Propedéutica clínica y Fisiopatología en la Sede Universitaria Pochutla, UBBJ 2026"
"Bárbaro Fraginal Saavedra","Desarrollo de guia para presentación de casos clínicos de Síndromes neurológicos en la asignatura Propedéutica clínica y Fisiopatología en la Sede Universitaria Pochutla, UBBJ 2026"
"Anahy Molinet Buides","Desarrollo de guia para presentación de casos clínicos de Síndromes neurológicos en la asignatura Propedéutica clínica y Fisiopatología en la Sede Universitaria Pochutla, UBBJ 2026"
"Ionmara Tadeo Oropesa","Desarrollo de guia para presentación de casos clínicos de Síndromes neurológicos en la asignatura Propedéutica clínica y Fisiopatología en la Sede Universitaria Pochutla, UBBJ 2026"
"Raúl Daniel Valdés Velázquez","Desarrollo de guia para presentación de casos clínicos de Síndromes neurológicos en la asignatura Propedéutica clínica y Fisiopatología en la Sede Universitaria Pochutla, UBBJ 2026"
"Ludmila Bauta Arnaud","El colegio universitario en salud pública"
"Lic. Osmara Tadeo Oropesa","Atención proactiva de enfermería en adolescentes"
"Lic. Yanicela Zapata González","Atención proactiva de enfermería en adolescentes"
"MSc. Yamilet de la Caridad Hernández López","Atención proactiva de enfermería en adolescentes"
"Lic. Niurka Hernández Hernández","Atención proactiva de enfermería en adolescentes"
"Lic Mayrim Carbonell Peña","Atención proactiva de enfermería en adolescentes"
"Lic. Yanicela Zapata González","Intervención de Enfermería para favorecer un envejecimiento salutogenico"
"MSc. Yamilet de la Caridad Hernández López","Intervención de Enfermería para favorecer un envejecimiento salutogenico"
"Lic. Niurka Hernández Hernández","Intervención de Enfermería para favorecer un envejecimiento salutogenico"
"Lic. Osmara Tadeo Oropesa","Intervención de Enfermería para favorecer un envejecimiento salutogenico"
"Dra Liliana Núñez Licea","Intervención de Enfermería para favorecer un envejecimiento salutogenico"
"Idia Isabel Araujo Verdecia","Estrategia para el mejoramiento del desempeño en el trabajo científico - metodológico"
"Antonia Zenaida Sánchez Proenza","Estrategia para el mejoramiento del desempeño en el trabajo científico - metodológico"
"DrC. Roberto Rodriguez Travieso","Estrategia para el mejoramiento del desempeño en el trabajo científico - metodológico"
"Dra. Yamel Quintana Falcón","DISPOSITIVOS SUPRAGLÓTICOS. IMPORTANCIA DE SU USO AL ABORDAR LA VIA AÉREA."
"Maria Camila Rodríguez Guerrero","DISPOSITIVOS SUPRAGLÓTICOS. IMPORTANCIA DE SU USO AL ABORDAR LA VIA AÉREA."
"Sergio Andrés Montoya Mora","DISPOSITIVOS SUPRAGLÓTICOS. IMPORTANCIA DE SU USO AL ABORDAR LA VIA AÉREA."
"Nabil Alhassan","DISPOSITIVOS SUPRAGLÓTICOS. IMPORTANCIA DE SU USO AL ABORDAR LA VIA AÉREA."
"Nelson Sánchez Recio","Factores pronósticos de muerte a 30 días por ictus hemorrágico en UCI. Hospital Julio Trigo López."
"Dra. Magalis Pallerols Mir","Efectividad del láser en el tratamiento de la estomatitis subprótesis en pacientes mayores de 19 años. Policlínico Managua, 2024-2025”."
"Dra. Maihanel Lorenzo Ramos","Efectividad del láser en el tratamiento de la estomatitis subprótesis en pacientes mayores de 19 años. Policlínico Managua, 2024-2025”."
"Dr. Yosbany Sebasco Figueredo","Efectividad del láser en el tratamiento de la estomatitis subprótesis en pacientes mayores de 19 años. Policlínico Managua, 2024-2025”."
"Dra. Magalis Pallerols Mir","Efectividad del láser para tratar la estomatitis subprótesis en pacientes mayores de 60 años. Policlínico “Fernando Álvarez”, 2024-2025."
"Dra. Maihanel Lorenzo Ramos","Efectividad del láser para tratar la estomatitis subprótesis en pacientes mayores de 60 años. Policlínico “Fernando Álvarez”, 2024-2025."
"Dr. Bryant Alex Videaux Carrillo","Efectividad del láser para tratar la estomatitis subprótesis en pacientes mayores de 60 años. Policlínico “Fernando Álvarez”, 2024-2025."
"Dra. Maihanel Lorenzo Ramos","Efectividad del láser para tratar la estomatitis subprótesis en menores de 60 años. Policlínico “Fernando Álvarez”, 2024-2025."
"Dra. Magalis Pallerols Mir","Efectividad del láser para tratar la estomatitis subprótesis en menores de 60 años. Policlínico “Fernando Álvarez”, 2024-2025."
"Dra. Adilen Santiesteban Acosta","Efectividad del láser para tratar la estomatitis subprótesis en menores de 60 años. Policlínico “Fernando Álvarez”, 2024-2025."
"Belkis Magdalena Martínez Martínez","Impacto del ictus en la supervivencia humana desde la perspectiva ecológica"
"Marta Calvo Diaz","Conocimientos, causas, prácticas y fármacos en la automedicación de   estudiantes de 5to año medicina"
"Ángel Francisco López Aguilera","Conocimientos, causas, prácticas y fármacos en la automedicación de   estudiantes de 5to año medicina"
"Ana Rosa Gil Vilanova","Conocimientos, causas, prácticas y fármacos en la automedicación de   estudiantes de 5to año medicina"
"Caridad Vega Rodríguez","Propuesta de intervención educativa sobre automedicación en estudiantes de Enfermería"
"Ángel Francisco López Aguilera","Propuesta de intervención educativa sobre automedicación en estudiantes de Enfermería"
"Marta Calvo Diaz","Propuesta de intervención educativa sobre automedicación en estudiantes de Enfermería"
"Gabriela Vento Diaz","Estrategia de superación intencionada para la educación de la autonomía del adulto mayor en la medicina familiar comunitaria."
"Maritza Díaz Molleda","Estrategia de superación intencionada para la educación de la autonomía del adulto mayor en la medicina familiar comunitaria."
"Ángel Francisco López Aguilera","Estrategia de superación intencionada para la educación de la autonomía del adulto mayor en la medicina familiar comunitaria."
"Dra. C. Isis Betancourt Torres","Interdisciplinariedad en la concepción del proceso pedagógico en la carrera de medicina"
"Lourdes B. Alpízar Caballero","Interdisciplinariedad en la concepción del proceso pedagógico en la carrera de medicina"
"Yaneysi Betancourt Vázquez","Interdisciplinariedad en la concepción del proceso pedagógico en la carrera de medicina"
"Niobis Munder Fuentes","Interdisciplinariedad en la concepción del proceso pedagógico en la carrera de medicina"
"Tania M. Pérez Valladares","Interdisciplinariedad en la concepción del proceso pedagógico en la carrera de medicina"
"Lic. Rosa Mayelín González Piedra.","Factores de riesgos laborales en la unidad de comercialización de  Combustibles, servicentro "La Granjita", 2026."
